threshold_model,FN,FP,TP,TN,total_cost
0.0,0,58617,1322,0,1758510
0.01,0,58617,1322,0,1758510
0.02,0,58617,1322,0,1758510
0.03,0,58617,1322,0,1758510
0.04,0,58617,1322,0,1758510
0.05,0,58617,1322,0,1758510
0.06,0,58617,1322,0,1758510
0.07,0,58617,1322,0,1758510
0.08,0,58617,1322,0,1758510
0.09,0,58617,1322,0,1758510
0.1,0,58617,1322,0,1758510
0.11,0,58617,1322,0,1758510
0.12,0,58617,1322,0,1758510
0.13,0,58617,1322,0,1758510
0.14,0,58617,1322,0,1758510
0.15,0,58617,1322,0,1758510
0.16,0,58617,1322,0,1758510
0.17,0,58617,1322,0,1758510
0.18,0,58617,1322,0,1758510
0.19,0,58617,1322,0,1758510
0.2,0,58617,1322,0,1758510
0.21,0,58617,1322,0,1758510
0.22,9,38080,1313,20537,1148250
0.23,9,37763,1313,20854,1138740
0.24,9,37763,1313,20854,1138740
0.25,9,37763,1313,20854,1138740
0.26,9,37763,1313,20854,1138740
0.27,47,16773,1275,41844,533740
0.28,47,16689,1275,41928,531220
0.29,47,16689,1275,41928,531220
0.3,47,16689,1275,41928,531220
0.31,47,16689,1275,41928,531220
0.32,47,16689,1275,41928,531220
0.33,47,16613,1275,42004,528940
0.34,68,11407,1254,47210,386410
0.35000000000000003,68,11330,1254,47287,384100
0.36,68,11330,1254,47287,384100
0.37,68,11330,1254,47287,384100
0.38,68,11330,1254,47287,384100
0.39,68,11308,1254,47309,383440
0.4,68,11308,1254,47309,383440
0.41000000000000003,68,11308,1254,47309,383440
0.42,68,11308,1254,47309,383440
0.43,68,11308,1254,47309,383440
0.44,68,11308,1254,47309,383440
0.45,68,11308,1254,47309,383440
0.46,68,11308,1254,47309,383440
0.47000000000000003,68,11308,1254,47309,383440
0.48,68,11308,1254,47309,383440
0.49,68,11308,1254,47309,383440
0.5,68,11308,1254,47309,383440
0.51,68,11308,1254,47309,383440
0.52,68,11308,1254,47309,383440
0.53,68,11308,1254,47309,383440
0.54,135,5944,1187,52673,266070
0.55,135,5944,1187,52673,266070
0.56,135,5944,1187,52673,266070
0.5700000000000001,135,5944,1187,52673,266070
0.58,135,5854,1187,52763,263370
0.59,145,4446,1177,54171,227630
0.6,153,4151,1169,54466,223980
0.61,153,4150,1169,54467,223950
0.62,153,4150,1169,54467,223950
0.63,153,4142,1169,54475,223710
0.64,154,4125,1168,54492,223850
0.65,157,4032,1165,54585,223010
0.66,157,3969,1165,54648,221120
0.67,157,3901,1165,54716,219080
0.68,162,3802,1160,54815,219360
0.6900000000000001,164,3707,1158,54910,217810
0.7000000000000001,174,3597,1148,55020,221010
0.71,181,3494,1141,55123,222470
0.72,181,3493,1141,55124,222440
0.73,181,3492,1141,55125,222410
0.74,224,2071,1098,56546,207730
0.75,229,2064,1093,56553,210770
0.76,251,1755,1071,56862,215800
0.77,252,1754,1070,56863,216420
0.78,255,1685,1067,56932,216300
0.79,277,1665,1045,56952,230000
0.8,280,1616,1042,57001,230480
0.81,294,1212,1028,57405,227460
0.8200000000000001,307,1130,1015,57487,233450
0.8300000000000001,325,916,997,57701,238730
0.84,384,860,938,57757,275400
0.85,422,665,900,57952,294250
0.86,456,627,866,57990,315210
0.87,468,613,854,58004,322590
0.88,482,602,840,58015,331360
0.89,552,205,770,58412,364950
0.9,629,117,693,58500,412360
0.91,707,109,615,58508,462820
0.92,777,44,545,58573,506370
0.93,906,17,416,58600,589410
0.9400000000000001,1028,16,294,58601,668680
0.9500000000000001,1244,0,78,58617,808600
0.96,1322,0,0,58617,859300
0.97,1322,0,0,58617,859300
0.98,1322,0,0,58617,859300
0.99,1322,0,0,58617,859300
1.0,1322,0,0,58617,859300
